ID,Species,Age Class,Sex,County,Season,PCR,MAT
1,Bobcat,NA,NA,LOS ANGELES,Dry,NEG,NEG
2,Bobcat,Adult,Male,VENTURA,Wet,POS,NA
3,Bobcat,Adult,NA,LOS ANGELES,Wet,NA,NEG
4,Bobcat,Adult,Male,VENTURA,Wet,NA,NEG
5,Bobcat,Juvenile,Male,VENTURA,Wet,NA,NEG
6,Bobcat,Adult,Female,VENTURA,Wet,NA,NEG
7,Bobcat,Adult,NA,MONTEREY,Dry,NA,POS
8,Bobcat,Adult,NA,MONTEREY,Wet,NA,POS
9,Bobcat,Adult,NA,MONTEREY,Wet,NA,POS
10,Bobcat,Juvenile,NA,MONTEREY,Dry,NA,POS
11,Bobcat,Adult,NA,MONTEREY,Wet,NA,POS
12,Bobcat,NA,NA,SANTA BARBARA,Wet,NA,NEG
13,Coyote,Adult,Male,SANTA BARBARA,Dry,NEG,NEG
14,Coyote,Adult,NA,MONTEREY,Wet,NA,POS
15,Coyote,Adult,NA,MONTEREY,Dry,NA,NEG
16,Coyote,Adult,NA,MONTEREY,Wet,NA,POS
17,Coyote,Juvenile,NA,MONTEREY,Dry,NA,NEG
18,Coyote,Juvenile,NA,MONTEREY,Dry,NA,NEG
19,Coyote,Juvenile,NA,MONTEREY,Dry,NA,NEG
20,Coyote,Adult,NA,MONTEREY,Dry,NA,NEG
21,Coyote,NA,Female,SAN LUIS OBISPO,NA,NA,NEG
22,Coyote,Adult,Male,SAN LUIS OBISPO,Wet,NA,POS
23,Coyote,Adult,Female,SAN LUIS OBISPO,Wet,NA,POS
24,Coyote,Adult,Male,SAN LUIS OBISPO,Wet,NA,NEG
25,Coyote,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
26,Coyote,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
27,Coyote,Adult,Male,SAN LUIS OBISPO,Wet,NA,POS
28,Coyote,Adult,Male,SAN LUIS OBISPO,Wet,NA,POS
29,Coyote,Adult,Male,SAN LUIS OBISPO,Wet,NA,POS
30,Coyote,Juvenile,Female,SANTA BARBARA,Dry,NA,NEG
31,Coyote,Adult,Female,SANTA BARBARA,Dry,NA,NEG
32,Coyote,NA,Male,SANTA BARBARA,Dry,NA,NEG
33,Desert Cottontail,Adult,Male,LOS ANGELES,Dry,NEG,NEG
34,Desert Cottontail,Adult,NA,VENTURA,Dry,NEG,NEG
35,Desert Cottontail,Adult,Female,LOS ANGELES,Dry,NEG,NEG
36,Desert Cottontail,Adult,NA,LOS ANGELES,Dry,NEG,NEG
37,Desert Cottontail,Adult,Female,VENTURA,Dry,NEG,POS
38,Desert Cottontail,Adult,Female,VENTURA,Wet,NEG,NEG
39,Desert Cottontail,Adult,Male,VENTURA,Wet,NEG,NEG
40,Desert Cottontail,Adult,Male,LOS ANGELES,Wet,NEG,NA
41,Desert Cottontail,Adult,Male,VENTURA,Wet,NEG,POS
42,Desert Cottontail,Adult,Male,LOS ANGELES,Wet,NEG,NA
43,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NEG,NA
44,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NEG,NEG
45,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NEG,NA
46,Desert Cottontail,Adult,Male,LOS ANGELES,Wet,NEG,NEG
47,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NEG,NEG
48,Desert Cottontail,Adult,Male,LOS ANGELES,Wet,NEG,NEG
49,Desert Cottontail,Adult,Female,VENTURA,Wet,NEG,NA
50,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NEG,NEG
51,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NEG,NEG
52,Desert Cottontail,NA,NA,LOS ANGELES,Wet,NEG,NA
53,Desert Cottontail,Adult,NA,LOS ANGELES,Dry,NEG,NEG
54,Desert Cottontail,Adult,Male,VENTURA,Dry,NEG,NEG
55,Desert Cottontail,NA,NA,LOS ANGELES,Dry,NEG,NEG
56,Desert Cottontail,Adult,Male,LOS ANGELES,Dry,NEG,NA
57,Desert Cottontail,Adult,Female,VENTURA,Dry,NEG,NEG
58,Desert Cottontail,Adult,NA,VENTURA,Dry,NEG,NEG
59,Desert Cottontail,Adult,NA,LOS ANGELES,Dry,NEG,NA
60,Desert Cottontail,Adult,NA,LOS ANGELES,Wet,NA,NEG
61,Desert Cottontail,Adult,Female,VENTURA,Wet,NA,NEG
62,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NA,NEG
63,Desert Cottontail,Adult,Male,VENTURA,Wet,NA,NEG
64,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NA,NEG
65,Desert Cottontail,Adult,Female,LOS ANGELES,Wet,NA,NEG
66,Desert Cottontail,Adult,NA,LOS ANGELES,Wet,NA,NEG
67,Desert Cottontail,Adult,Female,VENTURA,Dry,NA,POS
68,Desert Cottontail,Adult,NA,VENTURA,Dry,NA,NEG
69,Desert Cottontail,Adult,NA,VENTURA,Dry,NA,NEG
70,Desert Cottontail,Adult,NA,LOS ANGELES,Dry,NA,NEG
71,Feral Pigs,Juvenile,NA,NAPA,NA,NEG,NEG
72,Feral Pigs,Adult,Female,NAPA,NA,NEG,NEG
73,Feral Pigs,Juvenile,Male,NAPA,Dry,NEG,NEG
74,Feral Pigs,Juvenile,Male,NAPA,Dry,NEG,NEG
75,Feral Pigs,Adult,NA,NAPA,NA,NEG,NEG
76,Feral Pigs,Adult,Female,NAPA,Dry,NEG,NEG
77,Feral Pigs,Juvenile,Male,NAPA,Dry,NEG,POS
78,Feral Pigs,Adult,Male,NAPA,Wet,POS,POS
79,Feral Pigs,Juvenile,Female,NAPA,Dry,NA,POS
80,Feral Pigs,Adult,Male,NAPA,Dry,NA,POS
81,Feral Pigs,Adult,Male,NAPA,Dry,NA,NEG
82,Feral Pigs,Juvenile,Female,NAPA,Wet,NA,NEG
83,Feral Pigs,Adult,Male,NAPA,Wet,NA,NEG
84,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Dry,NA,NEG
85,Feral Pigs,Juvenile,Male,SAN LUIS OBISPO,Dry,NA,NEG
86,Feral Pigs,Juvenile,Male,SAN LUIS OBISPO,Dry,NA,NEG
87,Feral Pigs,Juvenile,Female,SAN LUIS OBISPO,Dry,NA,NEG
88,Feral Pigs,Juvenile,Male,SAN LUIS OBISPO,Dry,NA,NEG
89,Feral Pigs,Juvenile,Male,SAN LUIS OBISPO,Dry,NA,NEG
90,Feral Pigs,Juvenile,Female,SAN LUIS OBISPO,Wet,NA,NEG
91,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Dry,NA,NEG
92,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Dry,NA,NEG
93,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,POS
94,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,NEG
95,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
96,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,POS
97,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,NEG
98,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
99,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
100,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,POS
101,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,NEG
102,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,NEG
103,Feral Pigs,Juvenile,Male,SAN LUIS OBISPO,Wet,NA,POS
104,Feral Pigs,Adult,Male,SAN LUIS OBISPO,NA,NA,NEG
105,Feral Pigs,Juvenile,Female,SAN LUIS OBISPO,NA,NA,NEG
106,Feral Pigs,Adult,Male,SAN LUIS OBISPO,NA,NA,NEG
107,Feral Pigs,Adult,Female,SAN LUIS OBISPO,NA,NA,POS
108,Feral Pigs,Juvenile,Female,SAN LUIS OBISPO,NA,NA,NEG
109,Feral Pigs,Adult,Female,SAN LUIS OBISPO,NA,NA,POS
110,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,NEG
111,Feral Pigs,Juvenile,Male,NAPA,Dry,NA,NEG
112,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
113,Feral Pigs,Juvenile,Male,SAN LUIS OBISPO,Wet,NA,NEG
114,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,POS
115,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
116,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,NEG
117,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,POS
118,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,POS
119,Feral Pigs,Adult,Female,NAPA,Dry,NA,NEG
120,Feral Pigs,Adult,Male,SAN LUIS OBISPO,Wet,NA,POS
121,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
122,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,POS
123,Feral Pigs,Adult,Female,SAN LUIS OBISPO,Wet,NA,NEG
124,Feral Pigs,Juvenile,Female,SAN LUIS OBISPO,Wet,NA,NEG
125,Feral Pigs,Juvenile,Female,SAN LUIS OBISPO,Wet,NA,NEG
126,Gray Fox,Adult,Female,LOS ANGELES,Wet,NEG,NEG
127,Gray Fox,Adult,Male,LOS ANGELES,Dry,NEG,NA
128,Gray Fox,Adult,Male,LOS ANGELES,Wet,NEG,NA
129,Gray Fox,Juvenile,Male,SANTA BARBARA,Wet,NEG,NA
130,Gray Fox,Adult,Male,VENTURA,Dry,NEG,NA
131,Gray Fox,NA,NA,LOS ANGELES,Wet,NEG,NA
132,Gray Fox,Adult,Male,LOS ANGELES,Wet,NA,NEG
133,Gray Fox,Adult,NA,MONTEREY,Wet,NA,NEG
134,Gray Fox,Juvenile,NA,MONTEREY,Dry,NA,NEG
135,Ground Squirrel,Juvenile,Male,LOS ANGELES,Dry,NEG,NA
136,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
137,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
138,Ground Squirrel,Adult,Male,LOS ANGELES,Wet,NEG,NA
139,Ground Squirrel,Juvenile,Male,LOS ANGELES,Dry,NEG,NA
140,Ground Squirrel,Adult,Female,LOS ANGELES,Wet,NEG,NA
141,Ground Squirrel,Adult,Male,LOS ANGELES,Wet,NEG,NA
142,Ground Squirrel,Juvenile,Male,LOS ANGELES,Dry,NEG,NA
143,Ground Squirrel,Adult,Male,LOS ANGELES,Wet,NEG,NA
144,Ground Squirrel,NA,Female,LOS ANGELES,Wet,NEG,NA
145,Ground Squirrel,NA,Male,LOS ANGELES,Dry,NEG,NEG
146,Ground Squirrel,Adult,Male,LOS ANGELES,Wet,NEG,POS
147,Ground Squirrel,Juvenile,Male,LOS ANGELES,Dry,NEG,NA
148,Ground Squirrel,Juvenile,Male,VENTURA,Dry,NEG,NA
149,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
150,Ground Squirrel,NA,Male,LOS ANGELES,Wet,NEG,NA
151,Ground Squirrel,Juvenile,Male,LOS ANGELES,Wet,NEG,NA
152,Ground Squirrel,Juvenile,Male,LOS ANGELES,Wet,NEG,NA
153,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
154,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
155,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
156,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
157,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
158,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
159,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
160,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
161,Ground Squirrel,Juvenile,Female,LOS ANGELES,Dry,NEG,NA
162,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
163,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
164,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
165,Ground Squirrel,Juvenile,Female,LOS ANGELES,Dry,NEG,NA
166,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
167,Ground Squirrel,Adult,Male,LOS ANGELES,Dry,NEG,NA
168,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
169,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
170,Ground Squirrel,Adult,Female,LOS ANGELES,Dry,NEG,NA
171,Ground Squirrel,NA,NA,LOS ANGELES,Dry,NA,NEG
172,Ground Squirrel,Adult,NA,MONTEREY,Wet,NA,POS
173,Mountain Lion,Adult,Female,VENTURA,Dry,NEG,NA
174,Mountain Lion,Adult,Male,VENTURA,Dry,NEG,NA
175,Mountain Lion,Adult,Female,VENTURA,Dry,NEG,POS
176,Mountain Lion,Adult,Male,LOS ANGELES,Wet,NEG,NA
